Timestamp,EMG_Value
1764934546.35083,172
1764934546.351033,172
1764934546.351155,172
1764934546.351269,172
1764934546.3513799,172
1764934546.351489,172
1764934546.351586,172
1764934546.3516428,171
1764934546.351703,171
1764934546.3517618,172
1764934546.351819,172
1764934546.3518798,172
1764934546.351943,172
1764934546.352,172
1764934546.3520582,172
1764934546.352119,172
1764934546.352179,172
1764934546.3522382,172
1764934546.3523,172
1764934546.3523579,172
1764934546.352416,172
1764934546.3524768,172
1764934546.352534,172
1764934546.352593,172
1764934546.352656,172
1764934546.352712,172
1764934546.352771,172
1764934546.35283,172
1764934546.35289,172
1764934546.352948,172
1764934546.353009,172
1764934546.353067,172
1764934546.35313,172
1764934546.353188,172
1764934546.35325,172
1764934546.3533068,172
1764934546.3533618,172
1764934546.353417,172
1764934546.353472,172
1764934546.353526,172
1764934546.35358,172
1764934546.353634,172
1764934546.3536892,172
1764934546.353743,172
1764934546.3537972,172
1764934546.3538508,172
1764934546.353905,172
1764934546.3539588,172
1764934546.354014,171
1764934546.3540668,171
1764934546.354121,172
1764934546.3545659,172
1764934546.364764,172
1764934546.3750248,172
1764934546.385271,172
1764934546.3955772,171
1764934546.405833,172
1764934546.4160562,172
1764934546.426357,172
1764934546.436597,172
1764934546.446792,172
1764934546.457072,172
1764934546.46736,172
1764934546.477582,172
1764934546.487966,172
1764934546.498153,172
1764934546.508472,172
1764934546.5187142,172
1764934546.5288792,172
1764934546.539196,172
1764934546.549372,172
1764934546.559634,171
1764934546.569948,172
1764934546.580103,171
1764934546.590315,171
1764934546.600773,172
1764934546.610966,172
1764934546.621262,172
1764934546.6314518,172
1764934546.6417449,172
1764934546.652074,172
1764934546.662194,172
1764934546.672509,172
1764934546.682674,172
1764934546.692946,171
1764934546.703357,172
1764934546.7135859,172
1764934546.723802,172
1764934546.734081,172
1764934546.744284,172
1764934546.754559,172
1764934546.764739,172
1764934546.775052,172
1764934546.7853272,172
1764934546.7956438,172
1764934546.8059268,172
1764934546.816148,172
1764934546.826417,172
1764934546.836682,172
1764934546.846883,172
1764934546.857118,172
1764934546.86755,172
1764934546.8777778,172
1764934546.888041,171
1764934546.898262,172
1764934546.908525,172
1764934546.918808,172
1764934546.928937,172
1764934546.939241,172
1764934546.949435,172
1764934546.959709,172
1764934546.970177,172
1764934546.980298,172
1764934546.990597,172
1764934547.000855,172
1764934547.011105,171
1764934547.021318,172
1764934547.031519,172
1764934547.041806,172
1764934547.0520508,172
1764934547.0622091,171
1764934547.07267,172
1764934547.082922,172
1764934547.093162,172
1764934547.103379,172
1764934547.113565,172
1764934547.1238148,172
1764934547.1341388,172
1764934547.144323,172
1764934547.154662,172
1764934547.164795,172
1764934547.175253,172
1764934547.185652,173
1764934547.195734,172
1764934547.206007,172
1764934547.216185,172
1764934547.2264478,172
1764934547.236686,172
1764934547.246871,172
1764934547.2571461,172
1764934547.2674,172
1764934547.277795,172
1764934547.288059,172
1764934547.298254,172
1764934547.308545,172
1764934547.318878,172
1764934547.32898,172
1764934547.339285,171
1764934547.349501,172
1764934547.359756,170
1764934547.370213,172
1764934547.38036,172
1764934547.390582,172
1764934547.400888,172
1764934547.411089,172
1764934547.421361,172
1764934547.431594,172
1764934547.4420228,172
1764934547.452221,172
1764934547.462427,172
1764934547.4727218,172
1764934547.482982,172
1764934547.493213,172
1764934547.5034518,172
1764934547.513636,172
1764934547.52393,172
1764934547.534341,172
1764934547.544638,172
1764934547.554825,172
1764934547.565012,172
1764934547.5752058,172
1764934547.585581,172
1764934547.595747,172
1764934547.606015,171
1764934547.616251,172
1764934547.626685,172
1764934547.6369169,172
1764934547.6471171,172
1764934547.6573372,172
1764934547.66764,172
1764934547.67785,172
1764934547.688134,171
1764934547.6983109,172
1764934547.708597,172
1764934547.718863,172
1764934547.7290208,172
1764934547.739499,172
1764934547.749701,172
1764934547.7599611,171
1764934547.7701938,171
1764934547.780391,172
1764934547.790586,172
1764934547.80095,172
1764934547.8111281,172
1764934547.821436,172
1764934547.83163,172
1764934547.842046,172
1764934547.852315,172
1764934547.862495,172
1764934547.872776,172
1764934547.883013,172
1764934547.893248,172
1764934547.9035058,172
1764934547.913698,172
1764934547.923885,172
1764934547.934201,172
1764934547.944604,172
1764934547.9549131,172
1764934547.965012,172
1764934547.9753091,172
1764934547.985701,172
1764934547.995809,172
1764934548.006274,172
1764934548.0165,172
1764934548.02673,172
1764934548.037001,172
1764934548.0471702,172
1764934548.057478,172
1764934548.067683,172
1764934548.077884,172
1764934548.088192,172
1764934548.0983832,172
1764934548.108649,172
1764934548.119127,172
1764934548.129271,172
1764934548.139603,172
1764934548.149792,172
1764934548.16004,172
1764934548.170273,172
1764934548.1808782,172
1764934548.1941152,172
1764934548.201077,172
1764934548.211273,172
1764934548.221644,172
1764934548.23187,172
1764934548.242133,172
1764934548.252373,171
1764934548.262592,172
1764934548.2728891,172
1764934548.283082,172
1764934548.2933261,172
1764934548.303684,172
1764934548.313932,172
1764934548.324131,172
1764934548.334455,172
1764934548.344641,172
1764934548.354927,172
1764934548.365126,172
1764934548.375398,172
1764934548.385705,172
1764934548.395864,172
1764934548.40611,172
1764934548.416332,172
1764934548.4267578,172
1764934548.4369988,172
1764934548.447217,172
1764934548.4574468,172
1764934548.467755,172
1764934548.4779441,172
1764934548.488256,172
1764934548.49843,172
1764934548.508887,172
1764934548.5191638,172
1764934548.5293,171
1764934548.539648,172
1764934548.549818,172
1764934548.5600462,172
1764934548.570334,172
1764934548.5804942,172
1764934548.590753,172
1764934548.6010208,172
1764934548.611378,172
1764934548.621685,172
1764934548.631874,172
1764934548.6421492,171
1764934548.6524851,172
1764934548.6626098,171
1764934548.67291,172
1764934548.68306,172
1764934548.693405,172
1764934548.7038531,172
1764934548.713973,172
1764934548.7241979,172
1764934548.7344892,172
1764934548.7447119,172
1764934548.754983,172
1764934548.7651782,172
1764934548.775383,172
1764934548.785825,172
1764934548.796073,171
1764934548.8063822,172
1764934548.8166249,172
1764934548.826802,172
1764934548.8370502,172
1764934548.847256,172
1764934548.8574421,172
1764934548.867792,172
1764934548.877992,172
1764934548.8882902,172
1764934548.898485,171
1764934548.9089322,172
1764934548.9192379,172
1764934548.929352,172
1764934548.939657,172
1764934548.949909,172
1764934548.9601212,172
1764934548.9703732,172
1764934548.980572,172
1764934548.990738,172
1764934549.00124,172
1764934549.011436,172
1764934549.0217202,172
1764934549.0319219,172
1764934549.042182,172
1764934549.052454,171
1764934549.062647,172
1764934549.072961,171
1764934549.0833511,172
1764934549.093589,172
1764934549.1038358,172
1764934549.114014,172
1764934549.124193,172
1764934549.134547,172
1764934549.144799,172
1764934549.1550488,172
1764934549.1652522,172
1764934549.175689,172
1764934549.1859221,172
1764934549.196116,172
1764934549.206416,172
1764934549.216647,172
1764934549.226857,172
1764934549.2371352,172
1764934549.247298,172
1764934549.257545,172
1764934549.2679849,173
1764934549.278205,172
1764934549.288498,171
1764934549.298697,172
1764934549.3089652,172
1764934549.3192372,172
1764934549.329325,172
1764934549.339699,172
1764934549.349901,172
1764934549.3601449,172
1764934549.370642,172
1764934549.380765,172
1764934549.3910909,172
1764934549.4013162,171
1764934549.411544,172
1764934549.421767,172
1764934549.431972,171
1764934549.442261,172
1764934549.4526122,172
1764934549.462705,172
1764934549.473115,172
1764934549.48341,172
1764934549.4936168,172
1764934549.503891,172
1764934549.5140522,172
1764934549.524259,172
1764934549.5346072,172
1764934549.5447612,172
1764934549.55506,172
1764934549.56526,172
1764934549.575723,172
1764934549.585993,172
1764934549.5961778,172
1764934549.606433,172
1764934549.616671,172
1764934549.6269,172
1764934549.6371899,172
1764934549.6473432,172
1764934549.657823,172
1764934549.668085,172
1764934549.678251,172
1764934549.688525,172
1764934549.6987462,172
1764934549.709019,172
1764934549.719257,172
1764934549.7294579,172
1764934549.7397408,172
1764934549.750164,171
1764934549.760347,172
1764934549.770626,172
1764934549.78085,172
1764934549.791033,172
1764934549.8013902,172
1764934549.811564,172
1764934549.821831,173
1764934549.832032,172
1764934549.8424718,172
1764934549.852742,172
1764934549.862912,172
1764934549.873188,172
1764934549.883425,172
1764934549.89363,172
1764934549.903944,172
1764934549.91411,172
1764934549.924312,172
1764934549.9349089,172
1764934549.94503,172
1764934549.955293,172
1764934549.9654741,172
1764934549.9757519,172
1764934549.9859881,172
1764934549.996198,172
1764934550.0065322,172
1764934550.016761,172
1764934550.026957,172
1764934550.037409,172
1764934550.047573,172
1764934550.0578,172
1764934550.068129,172
1764934550.0783098,172
1764934550.088655,172
1764934550.098825,171
1764934550.109091,172
1764934550.119327,172
1764934550.12951,172
1764934550.1399648,172
1764934550.150211,172
1764934550.1604211,172
1764934550.170696,172
1764934550.1808589,172
1764934550.191075,172
1764934550.201429,172
1764934550.2116039,172
1764934550.221916,172
1764934550.232255,172
1764934550.242563,172
1764934550.252796,172
1764934550.2629812,173
1764934550.2732532,172
1764934550.283488,172
1764934550.293707,172
1764934550.3040042,172
1764934550.314198,172
1764934550.324346,172
1764934550.334878,172
1764934550.3450701,172
1764934550.355351,172
1764934550.3656151,172
1764934550.375805,172
1764934550.386061,172
1764934550.396254,172
1764934550.406563,172
1764934550.4167948,172
1764934550.427148,172
1764934550.437418,172
1764934550.4476411,172
1764934550.4578218,172
1764934550.468161,172
1764934550.478276,172
1764934550.488659,172
1764934550.498869,172
1764934550.509141,172
1764934550.51954,172
1764934550.529706,172
